سعادت,93
بیم,79
افندی,67
دوا,65
خان,32
تتق,25
سنجر,23
خاقان,23
سغراق,20
قوی,20
قلاوز,18
یاغی,16
قنق,15
سنجق,15
ترجمان,15
یغما,15
اینی,14
بوش,12
موران,12
بالش,11
فرما,11
تغار,10
ایاز,9
طوی,8
قان,8
خاصبک,6
شقایق,6
یاسه,6
پرچم,5
قلاووز,5
تاش,5
تتماج,5
چارق,5
خاتون,4
قازغان,4
قار,4
قشلق,4
چالش,3
سنقر,3
شیشاک,3
آلتون,3
چالیش,2
طزغو,2
سکسک,2
قتلو,2
قلج,2
یرلغ,2
گستردی,2
قوش,2
بوری,2
ایچی,2
قرو,2
تومان,2
صارو,1
الغار,1
قام,1
بگلربگان,1
طغرا,1
یلواج,1
تزغو,1
آلاجق,1
تکین,1
یغماگاه,1
بگلر,1
دش,1
اقنجی,1
قزغان,1
دتن,1
بلکا,1
دلکا,1
باجو,1
تنگری,1
اشپو,1
قلاجوری,1
ترجمانبگ,1
تسمه,1
بخو,1
اغلاغو,1
یلغون,1
یرغوش,1
سعادت,1.0
بیم,0.8494623655913979
<PIL.Image.Image image mode=RGB size=1600x800 at 0x7FA4BBA72FE0>
